Station_ID,Daily_Usage,Downtime_Hours,Maintenance_Cost,Requires_Maintenance
1,517,6.0,3240,1
2,517,7.0,3565,1
3,381,6.0,2902,1
4,234,1.0,971,0
5,196,1.0,1150,0
6,284,1.0,1237,0
7,278,1.0,857,0
8,171,1.0,556,0
9,461,4.0,3374,1
10,286,1.0,1027,0
11,602,4.0,3114,1
12,292,2.0,1190,0
13,348,3.0,2011,1
14,597,3.0,3249,1
15,340,2.0,1541,0
16,572,4.0,3214,1
17,535,4.0,3106,1
18,473,4.0,2624,1
19,305,3.0,2155,1
20,279,1.0,1145,0
21,225,2.0,1406,0
22,258,2.0,1406,0
23,401,3.0,2229,1
24,173,1.0,658,0
25,507,3.0,2528,1
26,404,3.0,2111,1
27,300,1.0,1199,0
28,437,4.0,2649,1
29,396,5.0,2985,1
30,348,6.0,2588,1
31,303,1.0,977,0
32,337,1.0,1451,0
33,465,6.0,2940,1
34,293,2.0,1206,0
35,293,5.0,2049,1
36,263,0.5,1144,0
37,244,2.0,902,0
38,366,6.0,2943,1
39,223,1.0,808,0
40,300,1.0,1083,0
41,248,1.0,1201,0
42,431,4.0,2553,1
43,140,1.0,613,0
44,510,5.0,2891,1
45,415,6.0,2857,1
46,237,2.0,907,0
47,242,1.0,820,0
48,159,2.0,936,0
49,386,4.0,2383,1
50,551,5.0,3379,1
51,427,3.0,2649,1
52,352,2.0,1499,0
53,258,2.0,886,0
54,246,1.0,1010,0
55,183,1.0,859,0
56,428,5.0,2822,1
57,200,4.0,1944,1
58,542,5.0,3535,1
59,290,6.0,2528,1
60,301,2.0,1124,0
61,332,1.0,1373,0
62,286,1.0,1161,0
63,500,3.0,3039,1
64,257,2.0,1167,0
65,381,1.0,1554,0
66,442,0.5,1709,0
67,427,3.0,2224,1
68,356,1.0,1532,0
69,180,2.0,813,0
70,368,2.0,1689,0
71,353,5.0,2282,1
72,156,1.0,725,0
73,146,2.0,1013,0
74,319,1.0,1231,0
75,557,4.0,3148,1
76,229,1.0,1081,0
77,596,6.0,3739,1
78,467,4.0,2438,1
79,317,1.0,1173,0
80,389,2.0,1748,0
81,259,4.0,2084,1
82,409,1.0,1505,0
83,348,4.0,2137,1
84,406,5.0,3085,1
85,218,0.5,853,0
86,274,2.0,1344,0
87,244,1.0,763,0
88,263,1.0,960,0
89,284,2.0,1466,0
90,407,6.0,2831,1
91,252,2.0,993,0
92,383,4.0,2381,1
93,626,6.0,3825,1
94,272,5.0,1657,1
95,475,3.0,2816,1
96,448,6.0,3179,1
97,246,2.0,1054,0
98,226,7.0,2674,1
99,327,1.0,1439,0
100,232,0.5,889,0
101,219,1.0,960,0
102,199,2.0,882,0
103,352,1.0,1297,0
104,259,1.0,834,0
105,529,3.0,3054,1
106,200,7.0,2420,1
107,444,3.0,2534,1
108,445,5.0,2768,1
109,335,1.0,1376,0
110,264,2.0,1068,0
111,299,3.0,1600,1
112,467,4.0,2745,1
113,553,7.0,3673,1
114,475,5.0,2968,1
115,199,1.0,1085,0
116,387,3.0,2290,1
117,348,1.0,1449,0
118,407,3.0,2721,1
119,329,2.0,1311,0
120,447,4.0,2777,1
121,284,2.0,1391,0
122,359,1.0,1433,0
123,278,5.0,2096,1
124,293,1.0,934,0
125,374,2.0,1432,0
126,240,0.5,1090,0
127,225,1.0,1048,0
128,378,1.0,1568,0
129,383,2.0,1608,0
130,246,2.0,1126,0
131,267,4.0,1600,1
132,515,6.0,3178,1
133,325,1.0,1219,0
134,192,2.0,982,0
135,364,6.0,2688,1
136,473,3.0,2861,1
137,441,4.0,2889,1
138,316,2.0,1319,0
139,367,3.0,1905,1
140,205,1.0,649,0
141,247,2.0,1053,0
142,361,6.0,2932,1
143,212,3.0,1735,1
144,411,6.0,3074,1
145,386,4.0,2503,1
146,317,5.0,2417,1
147,240,1.0,991,0
148,205,1.0,831,0
149,421,3.0,2631,1
150,333,4.0,2029,1
151,295,1.0,1249,0
152,246,1.0,907,0
153,397,6.0,2780,1
154,311,5.0,2321,1
155,241,1.0,1070,0
156,194,2.0,891,0
157,336,1.0,1215,0
158,470,2.0,1900,0
159,359,2.0,1765,0
160,366,6.0,2853,1
161,305,2.0,1461,0
162,533,3.0,3029,1
163,287,1.0,1191,0
164,443,5.0,2769,1
165,380,5.0,2331,1
166,499,4.0,2962,1
167,405,4.0,2355,1
168,191,1.0,774,0
169,221,1.0,939,0
170,390,4.0,2341,1
171,427,6.0,2846,1
172,392,4.0,2339,1
173,416,3.0,2403,1
174,388,5.0,2642,1
175,486,7.0,3828,1
176,454,6.0,3274,1
177,313,4.0,1965,1
178,257,2.0,1062,0
179,428,0.5,1649,0
180,149,2.0,1038,0
181,217,2.0,994,0
182,394,7.0,3318,1
183,264,1.0,1150,0
184,452,1.0,1664,0
185,322,5.0,2356,1
186,315,1.0,1102,0
187,296,0.5,929,0
188,440,3.0,2506,1
189,313,2.0,1242,0
190,480,5.0,3139,1
191,142,1.0,774,0
192,612,4.0,3409,1
193,342,5.0,2668,1
194,371,4.0,2089,1
195,204,1.0,910,0
196,555,3.0,2968,1
197,290,2.0,1027,0
198,504,3.0,2657,1
199,449,4.0,2665,1
200,315,7.0,2846,1
201,492,4.0,2759,1
202,468,5.0,3483,1
203,485,7.0,3271,1
204,361,2.0,1740,0
205,576,3.0,3014,1
206,215,1.0,876,0
207,386,1.0,1696,0
208,378,7.0,2852,1
209,279,3.0,1925,1
210,359,6.0,2781,1
211,499,4.0,3013,1
212,214,2.0,1290,0
213,323,2.0,1395,0
214,261,1.0,865,0
215,271,1.0,1075,0
216,429,3.0,2563,1
217,355,2.0,1525,0
218,216,4.0,1672,1
219,309,5.0,2292,1
220,297,2.0,1434,0
221,333,1.0,1463,0
222,394,4.0,2782,1
223,269,4.0,2104,1
224,478,3.0,2405,1
225,250,1.0,889,0
226,442,3.0,2386,1
227,324,2.0,1251,0
228,177,1.0,844,0
229,253,2.0,1290,0
230,200,5.0,1878,1
231,509,4.0,2727,1
232,445,4.0,2381,1
233,534,4.0,3038,1
234,266,1.0,1039,0
235,516,4.0,2753,1
236,234,1.0,683,0
237,247,2.0,987,0
238,316,4.0,2075,1
239,262,2.0,1006,0
240,181,1.0,826,0
241,313,1.0,1583,0
242,316,1.0,1019,0
243,359,4.0,2640,1
244,285,1.0,1274,0
245,228,2.0,1245,0
246,318,3.0,1760,1
247,430,4.0,2673,1
248,316,1.0,1443,0
249,256,1.0,1340,0
250,193,1.0,726,0
251,353,3.0,1895,1
252,274,2.0,1431,0
253,322,1.0,1269,0
254,247,1.0,773,0
255,298,2.0,1301,0
256,468,3.0,2141,1
257,286,1.0,978,0
258,545,4.0,2959,1
259,294,6.0,2383,1
260,222,1.0,818,0
261,180,2.0,1042,0
262,298,1.0,1351,0
263,263,1.0,642,0
264,392,6.0,2798,1
265,449,5.0,3168,1
266,420,4.0,2654,1
267,304,2.0,1081,0
268,403,0.5,1507,0
269,325,2.0,1411,0
270,223,0.5,1106,0
271,344,1.0,1365,0
272,358,4.0,2388,1
273,565,3.0,2977,1
274,145,1.0,720,0
275,349,7.0,2662,1
276,347,1.0,1729,0
277,336,1.0,1310,0
278,382,2.0,1393,0
279,403,6.0,3027,1
280,439,3.0,2491,1
281,297,4.0,1734,1
282,291,1.0,1229,0
283,335,2.0,1630,0
284,347,1.0,1271,0
285,305,1.0,1248,0
286,350,2.0,1318,0
287,488,3.0,2488,1
288,167,0.5,590,0
289,230,5.0,2135,1
290,412,3.0,2139,1
291,404,7.0,3036,1
292,286,2.0,964,0
293,513,3.0,2954,1
294,433,3.0,2527,1
295,473,6.0,3021,1
296,596,5.0,3516,1
297,313,2.0,1437,0
298,344,1.0,1185,0
299,337,1.0,1438,0
300,181,2.0,942,0
301,227,2.0,919,0
302,557,4.0,3118,1
303,376,5.0,2514,1
304,448,4.0,2600,1
305,498,5.0,2943,1
306,496,5.0,3218,1
307,321,0.5,1172,0
308,272,4.0,2296,1
309,281,4.0,2118,1
310,349,3.0,1992,1
311,234,2.0,1081,0
312,268,4.0,1804,1
313,296,2.0,1409,0
314,334,1.0,1183,0
315,284,4.0,1906,1
316,504,5.0,3491,1
317,274,1.0,1108,0
318,405,3.0,2208,1
319,237,0.5,978,0
320,353,2.0,1525,0
321,301,2.0,1386,0
322,337,2.0,1387,0
323,196,2.0,978,0
324,438,5.0,3034,1
325,307,3.0,2231,1
326,433,1.0,1386,0
327,261,4.0,1757,1
328,410,1.0,1477,0
329,431,3.0,2364,1
330,187,2.0,828,0
331,247,2.0,1136,0
332,294,2.0,1144,0
333,299,4.0,2094,1
334,345,2.0,1438,0
335,306,1.0,1285,0
336,390,1.0,1671,0
337,566,3.0,3074,1
338,539,3.0,2757,1
339,337,0.5,1037,0
340,263,2.0,1146,0
341,360,4.0,2264,1
342,369,7.0,3037,1
343,325,1.0,1203,0
344,353,2.0,1460,0
345,96,0.5,645,0
346,284,1.0,1077,0
347,202,1.0,829,0
348,377,7.0,3064,1
349,358,3.0,2067,1
350,222,2.0,1052,0
351,229,1.0,1081,0
352,292,2.0,1179,0
353,441,3.0,2555,1
354,274,1.0,995,0
355,259,2.0,1238,0
356,216,1.0,1038,0
357,277,1.0,1127,0
358,280,1.0,1484,0
359,545,4.0,3114,1
360,412,0.5,1608,0
361,504,4.0,2593,1
362,347,4.0,2434,1
363,451,4.0,2422,1
364,468,4.0,3064,1
365,328,2.0,1475,0
366,365,4.0,2238,1
367,280,7.0,2255,1
368,267,2.0,1146,0
369,346,1.0,1253,0
370,457,3.0,2328,1
371,414,4.0,2343,1
372,369,4.0,2135,1
373,409,5.0,2681,1
374,430,1.0,1805,0
375,388,3.0,1688,1
376,264,2.0,1241,0
377,253,5.0,1976,1
378,450,3.0,2482,1
379,347,4.0,2427,1
380,308,2.0,1275,0
381,616,3.0,3179,1
382,270,0.5,1020,0
383,277,1.0,1116,0
384,300,1.0,1182,0
385,452,4.0,2738,1
386,311,0.5,1168,0
387,306,1.0,1364,0
388,454,3.0,2874,1
389,561,4.0,3189,1
390,305,1.0,1095,0
391,198,1.0,612,0
392,302,2.0,1291,0
393,480,2.0,1810,0
394,404,5.0,2790,1
395,319,3.0,1881,1
396,428,7.0,3357,1
397,319,1.0,1178,0
398,268,1.0,963,0
399,405,4.0,2648,1
400,230,1.0,771,0
401,423,3.0,2331,1
402,167,2.0,857,0
403,315,0.5,958,0
404,368,6.0,3009,1
405,441,7.0,3234,1
406,246,1.0,1069,0
407,284,2.0,1124,0
408,243,2.0,977,0
409,233,1.0,939,0
410,582,4.0,3461,1
411,304,2.0,1195,0
412,465,4.0,2900,1
413,211,2.0,911,0
414,488,4.0,2689,1
415,334,2.0,1274,0
416,493,4.0,2720,1
417,352,3.0,2103,1
418,299,2.0,1434,0
419,320,4.0,2578,1
420,257,1.0,1017,0
421,313,1.0,1426,0
422,490,4.0,3041,1
423,303,1.0,1030,0
424,528,3.0,2728,1
425,232,1.0,972,0
426,333,2.0,1094,0
427,308,1.0,1434,0
428,256,1.0,1010,0
429,463,3.0,2646,1
430,401,5.0,2724,1
431,378,6.0,2587,1
432,339,2.0,1618,0
433,579,3.0,3092,1
434,200,5.0,1717,1
435,387,1.0,1545,0
436,384,4.0,2100,1
437,216,0.5,737,0
438,292,2.0,1177,0
439,412,1.0,1424,0
440,314,1.0,1112,0
441,176,2.0,543,0
442,229,2.0,1295,0
443,210,2.0,1039,0
444,571,4.0,3374,1
445,458,4.0,3046,1
446,193,1.0,767,0
447,360,7.0,2712,1
448,450,6.0,3290,1
449,479,4.0,3055,1
450,187,2.0,788,0
451,467,4.0,2951,1
452,205,1.0,880,0
453,502,3.0,2835,1
454,303,2.0,1098,0
455,421,5.0,2803,1
456,294,4.0,2217,1
457,306,3.0,1851,1
458,209,1.0,959,0
459,331,2.0,1165,0
460,406,6.0,2990,1
461,294,1.0,1070,0
462,467,5.0,2827,1
463,550,5.0,3189,1
464,283,1.0,1085,0
465,489,4.0,2830,1
466,351,3.0,2091,1
467,413,3.0,2318,1
468,308,1.0,1469,0
469,448,3.0,2893,1
470,339,2.0,1340,0
471,417,3.0,1916,1
472,195,1.0,899,0
473,472,7.0,3405,1
474,461,7.0,3429,1
475,315,2.0,1500,0
476,351,3.0,1945,1
477,406,5.0,2933,1
478,514,5.0,3223,1
479,271,0.5,816,0
480,388,2.0,1602,0
481,173,1.0,903,0
482,445,4.0,2906,1
483,539,4.0,3293,1
484,304,1.0,1102,0
485,220,1.0,794,0
486,295,2.0,1207,0
487,280,1.0,1092,0
488,239,7.0,1819,1
489,351,3.0,2303,1
490,138,2.0,778,0
491,402,4.0,2464,1
492,402,3.0,2447,1
493,371,1.0,1372,0
494,431,5.0,3032,1
495,381,3.0,2133,1
496,224,1.0,932,0
497,298,2.0,1377,0
498,230,1.0,998,0
499,509,6.0,3440,1
500,488,4.0,2923,1
